"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,131329248,4
2019,131329249,4
2019,131329251,5
2019,131329250,5
2019,131329252,5
2019,131329255,5
2019,131329258,4
2019,131329258,2
2019,131329258,8
2019,131329260,4
2019,131329267,5
2019,131329265,5
2019,131329266,5
2019,131329268,4
2019,131329270,5
2019,131329274,5
2019,131329273,5
2019,131329277,4
2019,131329278,5
2019,131329279,5
2019,131329280,5
2019,131329281,5
2019,131329285,5
2019,131329286,5
2019,131329287,5
2019,131329291,5
2019,131329294,5
2019,131329299,4
2019,131329303,5
2019,131329308,5
2019,131329309,4
2019,131329314,5
2019,131329330,4
2019,131329331,4
2019,131329351,4
2019,131329353,4
2019,131329357,5
2019,131329355,5
2019,131329354,5
2019,131329356,5
2019,131329360,5
2019,131329364,5
2019,131329363,4
2019,131329362,5
2019,131329367,5
2019,131329366,4
2019,131329370,5
2019,131329371,4
2019,131329374,5
2019,131329379,5
2019,131329380,4
2019,131329383,4
2019,131329385,5
2019,131329390,5
2019,131329393,5
2019,131329392,5
2019,131329394,4
2019,131329396,4
2019,131329400,5
2019,131329410,5
2019,131329414,5
2019,131329413,5
2019,131329417,4
2019,131329418,4
2019,131329430,4
2019,131329434,4
2019,131329436,5
2019,131329441,5
2019,131329446,5
2019,131329445,5
2019,131329444,5
2019,131329448,5
2019,131329449,4
2019,131329452,4
2019,131329456,5
2019,131329457,5
2019,131329459,5
2019,131329462,5
2019,131329461,5
2019,131329458,5
2019,131329467,5
2019,131329469,5
2019,131329468,5
2019,131329470,5
2019,131329472,5
2019,131329471,5
2019,131329478,4
2019,131329479,5
2019,131329480,4
2019,131329483,4
2019,131329484,4
2019,131329485,5
2019,131329486,5
2019,131329489,4
2019,131329490,5
2019,131329491,5
2019,131329492,4
2019,131329501,5
2019,131329507,4
2019,131329509,4
2019,131329512,4
2019,131329517,4
2019,131329539,4
2019,131329544,5
2019,131329547,5
2019,131329556,5
2019,131329558,5
2019,131329557,4
2019,131329559,5
2019,131329560,5
2019,131329563,4
2019,131329564,4
2019,131329565,4
2019,131329567,4
2019,131329572,5
2019,131329579,5
2019,131329583,4
2019,131329586,6
2019,131329589,5
2019,131329591,5
2019,131329592,5
2019,131329600,5
2019,131329601,4
2019,131329602,4
2019,131329604,5
2019,131329605,4
2019,131329606,5
2019,131329617,5
2019,131329627,5
2019,131329626,5
2019,131329630,4
2019,131329631,4
2019,131329637,4
2019,131329638,4
2019,131329642,5
2019,131329646,5
2019,131329648,5
2019,131329649,5
2019,131329645,5
2019,131329647,5
2019,131329644,5
2019,131329666,4
2019,131329668,4
2019,131329675,4
2019,131329684,4
2019,131329688,5
2019,131329689,4
2019,131329690,5
2019,131329694,5
2019,131329699,5
2019,131329704,4
2019,131329713,5
2019,131329714,4
2019,131329715,5
2019,131329719,5
2019,131329720,4
2019,131329721,5
2019,131329722,5
2019,131329723,5
2019,131329730,4
2019,131329731,5
2019,131329751,5
2019,131329750,5
2019,131329765,5
2019,131329771,4
2019,131329775,6
2019,131329780,5
2019,131329779,5
2019,131329782,5
2019,131329781,5
2019,131329788,5
2019,131329803,5
2019,131329808,4
2019,131329809,4
2019,131329810,4
2019,131329817,4
2019,131329824,5
2019,131329826,5
2019,131329836,5
2019,131329837,4
2019,131329840,5
2019,131329839,5
2019,131329844,5
2019,131329848,5
2019,131329849,5
2019,131329852,4
2019,131329853,5
2019,131329857,4
2019,131329859,5
2019,131329860,5
2019,131329861,5
2019,131329864,5
2019,131329865,5
2019,131329870,4
2019,131329875,5
2019,131329871,6
2019,131329873,5
2019,131329876,5
2019,131329872,4
2019,131329874,5
2019,131329886,5
2019,131329895,4
2019,131329896,5
2019,131329897,4
2019,131329898,4
2019,131329902,5
2019,131329903,4
2019,131329905,5
2019,131329907,5
2019,131329908,5
2019,131329910,4
2019,131329911,4
2019,131329915,4
2019,131329916,4
2019,131329917,4
2019,131329918,5
2019,131329920,4
2019,131329924,5
2019,131329928,5
2019,131329931,5
2019,131329932,5
2019,131329934,4
2019,131329938,5
2019,131329937,5
2019,131329936,5
2019,131329943,5
2019,131329942,5
2019,131329963,4
2019,131329987,2
2019,131329988,5
2019,131330024,5
2019,131330026,5
2019,132938316,4
2019,132938354,5
2019,131328775,4
2019,131328780,4
2019,131328783,5
2019,131322762,5
2019,131328804,4
2019,131328807,5
2019,131328816,5
2019,131328817,5
2019,131328828,5
2019,131328827,5
2019,131328853,5
2019,131328855,5
2019,131328856,5
2019,131328883,5
2019,131328887,4
2019,131328886,4
2019,131328891,4
2019,131328904,4
2019,131328910,6
2019,131328956,5
2019,131328958,4
2019,131328959,5
2019,131328972,5
2019,131328974,4
2019,131328976,5
2019,131328990,5
2019,131328991,5
2019,131328995,2
2019,131329003,5
2019,131329012,4
2019,131329024,5
2019,131329025,4
2019,131329026,5
2019,131329033,5
2019,131329035,5
2019,131329040,5
2019,131329039,5
2019,131329038,4
2019,131329046,5
2019,132938371,4
2019,132938400,5
2019,131328742,5
2019,129256327,5
2019,129258244,4
2019,129258241,4
2019,129263243,3
2019,131328717,4
2019,131328744,4
2019,131328747,5
2019,131328756,4
2019,132928594,5
2019,132938341,5
2019,132938338,5
2019,132938366,4
2019,132938367,5
2019,132938403,5
2019,132938414,4
2019,132938417,4
2019,132938429,2
2019,132938430,4
2019,132938446,4
2019,132938447,5
2019,132938452,5
2019,132938456,5
2019,132938455,4
2019,132938458,4
2019,132938460,4
2019,132938462,5
2019,132938461,5
2019,132938478,5
2019,132938479,5
2019,132938483,5
2019,132938485,4
2019,132938492,4
2019,132938501,4
2019,132938504,4
2019,132938506,5
2019,132933800,5
