"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,146744927
2019,21,146744929
2019,21,146744930
2019,21,146744931
2019,21,146744932
2019,21,146744934
2019,21,146744937
2019,21,146744985
2019,21,146744984
2019,21,146744986
2019,21,146744987
2019,21,146756027
2019,21,146756026
2019,21,146744992
2019,21,146744999
2019,21,146745000
2019,21,146745001
2019,21,146745002
2019,21,146745004
2019,21,146745005
2019,21,146745008
2019,21,146745009
2019,21,146745010
2019,21,146745012
2019,21,146756052
2019,21,146745013
2019,21,146756056
2019,21,146745014
2019,21,146745015
2019,21,146745017
2019,21,146756058
2019,21,146745019
2019,21,142129393
2019,21,142129415
2019,21,142129418
2019,21,142129467
2019,21,142129466
2019,21,142129510
2019,21,142129537
2019,21,142129541
2019,21,142129544
2019,21,142129552
2019,21,142129556
2019,21,142129568
2019,21,142129567
2019,21,142129576
2019,21,142129578
2019,21,142129584
2019,21,142129589
2019,21,142129590
2019,21,142129591
2019,21,142129595
2019,21,142129596
2019,21,142129601
2019,21,142129615
2019,21,142129625
2019,21,142129630
2019,21,142129633
2019,21,142129656
2019,21,142129658
2019,21,142129678
2019,21,142129679
2019,21,142129681
2019,21,142129686
2019,21,142129687
2019,21,142129693
2019,21,142129694
2019,21,142129695
2019,21,142129707
2019,21,142129709
2019,21,142129711
2019,21,142129712
2019,21,142129732
2019,21,142129733
2019,21,142129737
2019,21,142129742
2019,21,142129751
2019,21,142129752
2019,21,142129768
2019,21,142129776
2019,21,142129774
2019,21,142129780
2019,21,142129779
