DATA_YEAR_x,ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,ARREST_DATE,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,OFFENSE_TYPE_ID_x,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,DATA_YEAR_y,OFFENSE_ID,OFFENSE_TYPE_ID_y,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
2019,34059510,113397075,1,2019-04-02,spring,2,N,16,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138500400,16,C,41,,,School-Elementary/Secondary
2019,35966790,118021527,1,2019-09-16,summer,2,N,16,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,143136906,16,C,41,,,School-Elementary/Secondary
2019,35966801,118021586,1,2019-09-17,summer,2,N,16,5,16,M,1,1,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,143136978,16,C,41,,,School-Elementary/Secondary
2019,35966872,118021796,1,2019-09-24,autumn,2,N,16,5,17,M,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,143137235,16,C,41,,,School-Elementary/Secondary
2019,35966923,118021983,1,2019-09-27,autumn,2,N,16,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,143137465,16,C,41,,,School-Elementary/Secondary
2019,35966924,118021985,1,2019-09-30,autumn,2,N,16,5,14,F,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,143137467,16,C,41,,,School-Elementary/Secondary
2019,33182473,111314685,1,2019-03-14,winter,2,N,16,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136125492,16,C,41,,,School-Elementary/Secondary
2019,33182473,111314685,1,2019-03-14,winter,2,N,16,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136132156,35,C,41,,,School-Elementary/Secondary
2019,33182340,111310222,1,2019-02-13,winter,2,N,16,5,14,F,2,2,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136125144,16,C,41,,,School-Elementary/Secondary
2019,31971411,107372789,1,2019-01-24,winter,2,N,16,5,17,M,1,1,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131748718,35,C,41,,,School-Elementary/Secondary
2019,31971411,107372789,1,2019-01-24,winter,2,N,16,5,17,M,1,1,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131748717,16,C,41,,,School-Elementary/Secondary
2019,31971377,107372684,1,2019-01-15,winter,2,N,16,5,13,M,1,2,R,H,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131748577,16,C,41,,,School-Elementary/Secondary
2019,33189224,111314605,1,2019-03-05,winter,2,N,16,5,17,F,1,3,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136130683,16,C,41,,,School-Elementary/Secondary
2019,33189143,111317714,1,2019-02-22,winter,2,N,16,5,17,F,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136131772,16,C,41,,,School-Elementary/Secondary
2019,33189253,111310491,1,2019-03-12,winter,2,N,16,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136130750,16,C,41,,,School-Elementary/Secondary
2019,33184456,111314680,1,2019-03-13,winter,2,N,16,5,17,M,1,1,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136130767,16,C,41,,,School-Elementary/Secondary
2019,31971375,107364795,1,2019-01-15,winter,2,N,16,5,14,F,2,3,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131748570,16,C,41,,,School-Elementary/Secondary
2019,34056240,113385140,1,2019-05-02,spring,2,N,16,5,16,F,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138501999,16,C,41,,,School-Elementary/Secondary
2019,34056310,113385382,1,2019-05-10,spring,2,N,16,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138502296,16,C,41,,,School-Elementary/Secondary
2019,34056349,113385522,1,2019-05-14,spring,2,N,16,5,17,F,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138502466,16,C,41,,,School-Elementary/Secondary
2019,34056363,113385563,1,2019-05-16,spring,2,N,16,5,10,M,2,2,R,R,,10,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138502517,16,C,41,,,School-Elementary/Secondary
2019,31975203,107372606,1,2019-01-09,winter,2,N,16,5,16,M,2,2,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131752350,16,C,41,,,School-Elementary/Secondary
2019,34055991,113384226,2,2019-04-10,spring,2,N,16,5,14,M,1,1,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138485921,16,C,41,,,School-Elementary/Secondary
2019,34055990,113384226,1,2019-04-10,spring,2,N,16,5,15,M,2,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138485921,16,C,41,,,School-Elementary/Secondary
