ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,OFFENSE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
35966924,118021985,1,autumn,2,N,5,14,F,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,143137467,C,41,,,School-Elementary/Secondary
33182473,111314685,1,winter,2,N,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136125492,C,41,,,School-Elementary/Secondary
33182473,111314685,1,winter,2,N,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136132156,C,41,,,School-Elementary/Secondary
33182340,111310222,1,winter,2,N,5,14,F,2,2,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136125144,C,41,,,School-Elementary/Secondary
31971411,107372789,1,winter,2,N,5,17,M,1,1,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131748718,C,41,,,School-Elementary/Secondary
31971411,107372789,1,winter,2,N,5,17,M,1,1,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131748717,C,41,,,School-Elementary/Secondary
31971377,107372684,1,winter,2,N,5,13,M,1,2,R,H,,13,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131748577,C,41,,,School-Elementary/Secondary
33189224,111314605,1,winter,2,N,5,17,F,1,3,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136130683,C,41,,,School-Elementary/Secondary
33189143,111317714,1,winter,2,N,5,17,F,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136131772,C,41,,,School-Elementary/Secondary
33189253,111310491,1,winter,2,N,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136130750,C,41,,,School-Elementary/Secondary
33184456,111314680,1,winter,2,N,5,17,M,1,1,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,136130767,C,41,,,School-Elementary/Secondary
